Player,Hero,Time,Rating,% of Kills,Kills per 10,Deaths per 10,Kills/Deaths per 10,Kills - Deaths per 10,Ults per 10,Kills per Ult,Fights Fought,% Get First Kills,% Get First Death,% HS Kills,% Ult Kills,TT Charge First Ultimate (s/ult),TT Charge Ult (s/ult),Ult Hold Time (s/ult),Kills per 10,Kill Impact per 10,Impact / Kill per 10,Death per 10,Death Impact per 10,Impact / Death per 10,I/K - I/D,FUU Win - Fwin,% Ult outside of fight,PTK,PTD,F3K,F3D,timeSec
 Karivvs Boston Uprising,Zenyatta,0:59:47,920,9.80%,3.18,4.18,0.76,-1,3.51,0,79,2.53%,5.06%,0.00%,0.00%,107.64,104.29,48.81,3.18,-0.19,-0.061,4.18,0.65,0.155,-0.216,-7.01,21.05%,9.84%,15.63%,9.09%,16.36%,3587
Aimgod vs Los Angeles Valiant,Zenyatta,1:01:11,911,11.00%,2.94,5.23,0.56,-2.29,3.6,0,80,1.25%,7.50%,0.00%,0.00%,103.91,99.68,48.95,2.94,-0.05,-0.017,5.23,1.69,0.323,-0.34,12.5,10.00%,11.04%,16.08%,8.93%,16.07%,3671
Bdosin vs Los Angeles Gladiators,Zenyatta,0:53:46,906,10.80%,3.35,4.46,0.75,-1.12,4.09,0,63,1.59%,7.94%,0.00%,0.00%,125.78,103.68,33.36,3.35,1.45,0.432,4.46,1.45,0.325,0.107,-1.9,0.00%,10.84%,19.20%,17.50%,27.50%,3226
Bdosin vs San Francisco Shock,Zenyatta,1:03:56,904,7.20%,2.5,3.75,0.67,-1.25,3.91,0,81,0.00%,7.41%,0.00%,0.00%,117.36,101.4,30.2,2.5,-0.3,-0.118,3.75,0.17,0.046,-0.164,5.56,13.04%,7.21%,14.20%,11.32%,18.87%,3836
Sleepy vs Seoul Dynasty,Zenyatta,0:52:13,900,6.00%,1.92,3.06,0.63,-1.15,3.64,0,71,2.82%,4.23%,0.00%,0.00%,126.13,105.47,41.32,1.92,1,0.522,3.06,1.63,0.531,-0.009,8.98,5.26%,5.99%,11.85%,10.87%,21.74%,3133
Sleepy vs London Spitfire,Zenyatta,1:02:28,897,14.70%,3.68,6.56,0.56,-2.88,3.84,0,79,6.33%,13.92%,0.00%,0.00%,117.83,106.13,24,3.68,1.09,0.296,6.56,2.11,0.321,-0.025,3.2,9.09%,14.74%,18.30%,17.31%,34.62%,3748
Freefeel vs Florida Mayhem,Zenyatta,0:51:05,897,8.70%,2.35,5.48,0.43,-3.13,4.7,0,62,4.84%,9.68%,0.00%,0.00%,106.82,86.21,20.75,2.35,0.66,0.282,5.48,-1.23,-0.224,0.506,10.37,8.70%,8.70%,18.79%,6.25%,25.00%,3065
uNKOE vs London Spitfire,Zenyatta,0:39:41,894,8.40%,2.52,4.79,0.53,-2.27,3.53,0,45,4.44%,8.89%,0.00%,0.00%,109.38,96.36,32.64,2.52,0.57,0.224,4.79,0.2,0.041,0.183,-17.09,0.00%,8.40%,16.96%,12.50%,21.88%,2381
Boomboxvs Houston Outlaws,Zenyatta,0:35:53,892,7.60%,1.67,4.74,0.35,-3.07,3.9,0,49,0.00%,6.12%,0.00%,0.00%,100.5,90.36,51.21,1.67,-0.04,-0.025,4.74,0.26,0.055,-0.08,-36.73,7.69%,7.59%,14.53%,13.33%,33.33%,2153
Zuppeh vs Boston Uprising,Zenyatta,0:41:26,890,8.30%,1.93,5.55,0.35,-3.62,4.59,0,48,4.17%,6.25%,0.00%,0.00%,101.5,94.95,22.84,1.93,0.13,0.067,5.55,0.39,0.07,-0.003,-13.33,0.00%,8.33%,12.92%,10.53%,28.95%,2486
